Room Number,Description,Classroom Setup,Capacity
069-234,"Engineering Building, Room 234",Instructional Lab - Dry,32
069-235,"Engineering Building, Room 235",Computer Stations,32
069-245,"Engineering Building, Room 245",Instructional Lab - Dry,15
069-314,"Engineering Building, Room 314",Traditional Classroom,40
069-315,"Engineering Building, Room 315",Computer Stations,15
069-317,"Engineering Building, Room 317",Computer Stations,33
069-321,"Engineering Building, Room 321",Traditional Classroom,76
070-001,"SBS West Building, Room 001",Instructional Lab - Dry,18
070-010,"SBS West Building, Room 010",Computer Stations,30
070-011,"SBS West Building, Room 011",Computer Stations,34
070-101,"SBS West Building, Room 101",Traditional Classroom,18
070-102,"SBS West Building, Room 102",Instructional Lab - Wet,15
070-103,"SBS West Building, Room 103",Tiered Seating - Fixed,40
070-104,"SBS West Building, Room 104",Tiered Seating - Fixed,40
070-106,"SBS West Building, Room 106",Tiered Seating - Fixed,46
070-107,"SBS West Building, Room 107",Traditional Classroom,49
070-108,"SBS West Building, Room 108",Computer Stations,40
070-109,"SBS West Building, Room 109",Traditional Classroom,70
070-110,"SBS West Building, Room 110",Traditional Classroom,75
070-115,"SBS West Building, Room 115",Seminar Seating,20
070-117,"SBS West Building, Room 117",Computer Stations,25
070-200,"SBS West Building, Room 200",Large Lecture Hall,206
070-203,"SBS West Building, Room 203",Tiered Seating - Fixed,24
070-204,"SBS West Building, Room 204",Tiered Seating - Fixed,60
070-205,"SBS West Building, Room 205",Tiered Seating - Fixed,60
070-206,"SBS West Building, Room 206",Tiered Seating - Fixed,40
070-207,"SBS West Building, Room 207",Traditional Classroom,30
070-208,"SBS West Building, Room 208",Traditional Classroom,36
072-119,"Nursing Building, Room 119",Hospital Room Layout,40
072-123,"Nursing Building, Room 123",Instructional Lab - Wet,10
072-124,"Nursing Building, Room 124",Tiered Seating,40
072-200,"Nursing Building, Room 200",Hospital Room Layout,10
073-999,"Walkup Skydome, Room FIELD 999",Skydome Field,75
080-001,"Ceramics Complex, Room 001",Ceramics Workstations,18
081-101,"W. A. Franke College of Business, Room 101","Tiered Seating, Fixed",200
081-110,"W. A. Franke College of Business, Room 110",Traditional Classroom,46
081-111,"W. A. Franke College of Business, Room 111",Traditional Classroom,46
081-115,"W. A. Franke College of Business, Room 115",Traditional Classroom,30
081-202,"W. A. Franke College of Business, Room 202",Traditional Classroom,60
081-226,"W. A. Franke College of Business, Room 226",Traditional Classroom,46
081-232,"W. A. Franke College of Business, Room 232",Traditional Classroom,46
081-334,"W. A. Franke College of Business, Room 334",Traditional Classroom,60
081-344,"W. A. Franke College of Business, Room 344",Computer Stations,48
081-345,"W. A. Franke College of Business, Room 345",Tiered Seating,70
081-346,"W. A. Franke College of Business, Room 346",Traditional Classroom,60
081-435,"W. A. Franke College of Business, Room 435",Tiered Seating,60
081-436,"W. A. Franke College of Business, Room 436",Traditional Classroom,58
081-437,"W. A. Franke College of Business, Room 437",Tiered Seating,60
081-444,"W. A. Franke College of Business, Room 444",Computer Lab,46
081-445,"W. A. Franke College of Business, Room 445",Traditional Classroom,72
081-446,"W. A. Franke College of Business, Room 446",Traditional Classroom,60
082-017,"Southwest Forest Science Complex, Room 017",Tiered Seating - Fixed,150
082-018,"Southwest Forest Science Complex, Room 018",Traditional Classroom,46
082-034,"Southwest Forest Science Complex, Room 034",Seminar Seating,25
082-035,"Southwest Forest Science Complex, Room 035",Traditional Classroom,30
082-109,"Southwest Forestry Science Complex, Room 108",Computer Stations,35
082-112,"Southwest Forest Science Complex, Room 112",Computer Stations,24
082-133,"Southwest Forest Science Complex, Room 133",Traditional Classroom,45
082-135,"Southwest Forest Science Complex, Room 135",Traditional Classroom,28
082-136,"Southwest Forest Science Complex, Room 136",Traditional Classroom,38
084-102,"Sculpture Studio, Room 102",Art Area - Workstations,18
086-127,"Aquatic/Tennis Complex, Room 127",Conference Style - Square,20
088-123,"John F. Wettaw Bio/Bio Chemistry Building, Room 123",Instructional Lab - Wet,26
088-124,"John F. Wettaw Bio/Bio Chemistry Building, Room 124",Instructional Lab - Wet,24
088-126,"John F. Wettaw Bio/Bio Chemistry Building, Room 126",Instructional Lab - Wet,24
088-127,"John F. Wettaw Bio/Bio chemistry Buidling, Room 127",Instructional Lab - Wet,24
088-130,"John F. Wettaw Bio/Bio chemistry Buidling, Room 130",Tiered Seating - Fixed,245
088-242,"John F. Wettaw Bio/Bio Chemistry Building, Room 242",Conference Style - Square,16
090-102,"USB, Room 102",Traditional Classroom,42
090-223,"USB, Room 223",Seminar Seating,18
092-112,"Ponderosa, Room 112",Seminar Seating,6
092-999,"Ponderosa, Room Dance Studio 999",Gym,20
098-103,"Engineering & Technology, Room C103",Mechanical Lab - Machinery,16
098-108,"NAU Police Department, Room A108",Conference Style - Square,30
